Country;PostalCode;Suburb;Region;RegionCode;Province;ProvinceCode;City;Occurrences;Lat_Old;Long_Old
BE;1745;Mazenzele;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.425;41.722
BE;1745;Opwijk;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.672;41.844
BE;1750;Gaasbeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.995;41.893
BE;1750;Sint-Martens-Lennik;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.116;41.697
BE;1750;Lennik;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.809;41.622
BE;1750;Sint-Kwintens-Lennik;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.038;41.549
BE;1755;Gooik;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.944;41.138
BE;1755;Leerbeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.779;41.194
BE;1755;Oetingen;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;507.732;40.635
BE;1755;Kester;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.764;41.206
BE;1760;Strijtem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.416;4.117
BE;1760;Onze-Lieve-Vrouw-Lombeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;50.82;41.103
BE;1760;Roosdaal;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.333;40.833
BE;1760;Pamel;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.453;40.713
BE;1761;Borchtlombeek;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.479;41.388
BE;1770;Liedekerke;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;508.689;40.874
BE;1780;Wemmel;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.081;43.061
BE;1785;Brussegem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.256;42.668
BE;1785;Merchtem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.513;4.232
BE;1785;Hamme;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.209;4.283
BE;1790;Hekelgem;Vlaanderen;VLG;Brabant Flamand;VBR;Halle-Vilvoorde;23;509.057;41.077
